Country,Region,Year,Happiness Rank,Happiness Score,Factors,Value
Chile,South America,2023,27,6.67,Economy (GDP per Capita),1.10715
Chile,South America,2023,27,6.67,Family,1.12447
Chile,South America,2023,27,6.67,Health (Life Expectancy),0.85857
Chile,South America,2023,27,6.67,Freedom,0.44132
Chile,South America,2023,27,6.67,Trust (Government Corruption),0.12869
Chile,South America,2023,27,6.67,Generosity,0.33363
Qatar,Asia,2023,28,6.611,Economy (GDP per Capita),1.69042
Qatar,Asia,2023,28,6.611,Family,1.0786
Qatar,Asia,2023,28,6.611,Health (Life Expectancy),0.79733
Qatar,Asia,2023,28,6.611,Freedom,0.6404
Qatar,Asia,2023,28,6.611,Trust (Government Corruption),0.52208
Qatar,Asia,2023,28,6.611,Generosity,0.32573
France,Europe,2023,29,6.575,Economy (GDP per Capita),1.27778
France,Europe,2023,29,6.575,Family,1.26038
France,Europe,2023,29,6.575,Health (Life Expectancy),0.94579
France,Europe,2023,29,6.575,Freedom,0.55011
France,Europe,2023,29,6.575,Trust (Government Corruption),0.20646
France,Europe,2023,29,6.575,Generosity,0.12332
Argentina,South America,2023,30,6.574,Economy (GDP per Capita),1.05351
Argentina,South America,2023,30,6.574,Family,1.24823
Argentina,South America,2023,30,6.574,Health (Life Expectancy),0.78723
Argentina,South America,2023,30,6.574,Freedom,0.44974
Argentina,South America,2023,30,6.574,Trust (Government Corruption),0.08484
Argentina,South America,2023,30,6.574,Generosity,0.11451
Czech Republic,Europe,2023,31,6.505,Economy (GDP per Capita),1.17898
Czech Republic,Europe,2023,31,6.505,Family,1.20643
Czech Republic,Europe,2023,31,6.505,Health (Life Expectancy),0.84483
Czech Republic,Europe,2023,31,6.505,Freedom,0.46364
Czech Republic,Europe,2023,31,6.505,Trust (Government Corruption),0.02652
Czech Republic,Europe,2023,31,6.505,Generosity,0.10686
Uruguay,South America,2023,32,6.485,Economy (GDP per Capita),1.06166
Uruguay,South America,2023,32,6.485,Family,1.2089
Uruguay,South America,2023,32,6.485,Health (Life Expectancy),0.8116
Uruguay,South America,2023,32,6.485,Freedom,0.60362
Uruguay,South America,2023,32,6.485,Trust (Government Corruption),0.24558
Uruguay,South America,2023,32,6.485,Generosity,0.2324
Colombia,South America,2023,33,6.477,Economy (GDP per Capita),0.91861
Colombia,South America,2023,33,6.477,Family,1.24018
Colombia,South America,2023,33,6.477,Health (Life Expectancy),0.69077
Colombia,South America,2023,33,6.477,Freedom,0.53466
Colombia,South America,2023,33,6.477,Trust (Government Corruption),0.0512
Colombia,South America,2023,33,6.477,Generosity,0.18401
Thailand,Asia,2023,34,6.455,Economy (GDP per Capita),0.9669
Thailand,Asia,2023,34,6.455,Family,1.26504
Thailand,Asia,2023,34,6.455,Health (Life Expectancy),0.7385
Thailand,Asia,2023,34,6.455,Freedom,0.55664
Thailand,Asia,2023,34,6.455,Trust (Government Corruption),0.03187
Thailand,Asia,2023,34,6.455,Generosity,0.5763
Saudi Arabia,Asia,2023,35,6.411,Economy (GDP per Capita),1.39541
Saudi Arabia,Asia,2023,35,6.411,Family,1.08393
Saudi Arabia,Asia,2023,35,6.411,Health (Life Expectancy),0.72025
Saudi Arabia,Asia,2023,35,6.411,Freedom,0.31048
Saudi Arabia,Asia,2023,35,6.411,Trust (Government Corruption),0.32524
Saudi Arabia,Asia,2023,35,6.411,Generosity,0.13706
Spain,Europe,2023,36,6.329,Economy (GDP per Capita),1.23011
Spain,Europe,2023,36,6.329,Family,1.31379
Spain,Europe,2023,36,6.329,Health (Life Expectancy),0.95562
Spain,Europe,2023,36,6.329,Freedom,0.45951
Spain,Europe,2023,36,6.329,Trust (Government Corruption),0.06398
Spain,Europe,2023,36,6.329,Generosity,0.18227
Malta,Europe,2023,37,6.302,Economy (GDP per Capita),1.2074
Malta,Europe,2023,37,6.302,Family,1.30203
Malta,Europe,2023,37,6.302,Health (Life Expectancy),0.88721
Malta,Europe,2023,37,6.302,Freedom,0.60365
Malta,Europe,2023,37,6.302,Trust (Government Corruption),0.13586
Malta,Europe,2023,37,6.302,Generosity,0.51752
Taiwan,Asia,2023,38,6.298,Economy (GDP per Capita),1.29098
Taiwan,Asia,2023,38,6.298,Family,1.07617
Taiwan,Asia,2023,38,6.298,Health (Life Expectancy),0.8753
Taiwan,Asia,2023,38,6.298,Freedom,0.3974
Taiwan,Asia,2023,38,6.298,Trust (Government Corruption),0.08129
Taiwan,Asia,2023,38,6.298,Generosity,0.25376
Kuwait,Asia,2023,39,6.295,Economy (GDP per Capita),1.55422
Kuwait,Asia,2023,39,6.295,Family,1.16594
Kuwait,Asia,2023,39,6.295,Health (Life Expectancy),0.72492
Kuwait,Asia,2023,39,6.295,Freedom,0.55499
Kuwait,Asia,2023,39,6.295,Trust (Government Corruption),0.25609
Kuwait,Asia,2023,39,6.295,Generosity,0.16228
Suriname,South America,2023,40,6.269,Economy (GDP per Capita),0.99534
Suriname,South America,2023,40,6.269,Family,0.972
Suriname,South America,2023,40,6.269,Health (Life Expectancy),0.6082
Suriname,South America,2023,40,6.269,Freedom,0.59657
Suriname,South America,2023,40,6.269,Trust (Government Corruption),0.13633
Suriname,South America,2023,40,6.269,Generosity,0.16991
Trinidad and Tobago,South America,2023,41,6.168,Economy (GDP per Capita),1.21183
Trinidad and Tobago,South America,2023,41,6.168,Family,1.18354
Trinidad and Tobago,South America,2023,41,6.168,Health (Life Expectancy),0.61483
Trinidad and Tobago,South America,2023,41,6.168,Freedom,0.55884
Trinidad and Tobago,South America,2023,41,6.168,Trust (Government Corruption),0.0114
Trinidad and Tobago,South America,2023,41,6.168,Generosity,0.31844
El Salvador,North America,2023,42,6.13,Economy (GDP per Capita),0.76454
El Salvador,North America,2023,42,6.13,Family,1.02507
El Salvador,North America,2023,42,6.13,Health (Life Expectancy),0.67737
El Salvador,North America,2023,42,6.13,Freedom,0.4035
El Salvador,North America,2023,42,6.13,Trust (Government Corruption),0.11776
El Salvador,North America,2023,42,6.13,Generosity,0.10692
Guatemala,North America,2023,43,6.123,Economy (GDP per Capita),0.74553
Guatemala,North America,2023,43,6.123,Family,1.04356
Guatemala,North America,2023,43,6.123,Health (Life Expectancy),0.64425
Guatemala,North America,2023,43,6.123,Freedom,0.57733
Guatemala,North America,2023,43,6.123,Trust (Government Corruption),0.09472
Guatemala,North America,2023,43,6.123,Generosity,0.27489
Uzbekistan,Asia,2023,44,6.003,Economy (GDP per Capita),0.63244
Uzbekistan,Asia,2023,44,6.003,Family,1.34043
Uzbekistan,Asia,2023,44,6.003,Health (Life Expectancy),0.59772
Uzbekistan,Asia,2023,44,6.003,Freedom,0.65821
Uzbekistan,Asia,2023,44,6.003,Trust (Government Corruption),0.30826
Uzbekistan,Asia,2023,44,6.003,Generosity,0.22837
Slovakia,Europe,2023,45,5.995,Economy (GDP per Capita),1.16891
Slovakia,Europe,2023,45,5.995,Family,1.26999
Slovakia,Europe,2023,45,5.995,Health (Life Expectancy),0.78902
Slovakia,Europe,2023,45,5.995,Freedom,0.31751
Slovakia,Europe,2023,45,5.995,Trust (Government Corruption),0.03431
Slovakia,Europe,2023,45,5.995,Generosity,0.16893
Japan,Asia,2023,46,5.987,Economy (GDP per Capita),1.27074
Japan,Asia,2023,46,5.987,Family,1.25712
Japan,Asia,2023,46,5.987,Health (Life Expectancy),0.99111
Japan,Asia,2023,46,5.987,Freedom,0.49615
Japan,Asia,2023,46,5.987,Trust (Government Corruption),0.1806
Japan,Asia,2023,46,5.987,Generosity,0.10705
South Korea,Asia,2023,47,5.984,Economy (GDP per Capita),1.24461
South Korea,Asia,2023,47,5.984,Family,0.95774
South Korea,Asia,2023,47,5.984,Health (Life Expectancy),0.96538
South Korea,Asia,2023,47,5.984,Freedom,0.33208
South Korea,Asia,2023,47,5.984,Trust (Government Corruption),0.07857
South Korea,Asia,2023,47,5.984,Generosity,0.18557
Ecuador,South America,2023,48,5.975,Economy (GDP per Capita),0.86402
Ecuador,South America,2023,48,5.975,Family,0.99903
Ecuador,South America,2023,48,5.975,Health (Life Expectancy),0.79075
Ecuador,South America,2023,48,5.975,Freedom,0.48574
Ecuador,South America,2023,48,5.975,Trust (Government Corruption),0.1809
Ecuador,South America,2023,48,5.975,Generosity,0.11541
Bahrain,Asia,2023,49,5.96,Economy (GDP per Capita),1.32376
Bahrain,Asia,2023,49,5.96,Family,1.21624
Bahrain,Asia,2023,49,5.96,Health (Life Expectancy),0.74716
Bahrain,Asia,2023,49,5.96,Freedom,0.45492
Bahrain,Asia,2023,49,5.96,Trust (Government Corruption),0.306
Bahrain,Asia,2023,49,5.96,Generosity,0.17362
Italy,Europe,2023,50,5.948,Economy (GDP per Capita),1.25114
Italy,Europe,2023,50,5.948,Family,1.19777
Italy,Europe,2023,50,5.948,Health (Life Expectancy),0.95446
Italy,Europe,2023,50,5.948,Freedom,0.26236
Italy,Europe,2023,50,5.948,Trust (Government Corruption),0.02901
Italy,Europe,2023,50,5.948,Generosity,0.22823
Bolivia,South America,2023,51,5.89,Economy (GDP per Capita),0.68133
Bolivia,South America,2023,51,5.89,Family,0.97841
Bolivia,South America,2023,51,5.89,Health (Life Expectancy),0.5392
Bolivia,South America,2023,51,5.89,Freedom,0.57414
Bolivia,South America,2023,51,5.89,Trust (Government Corruption),0.088
Bolivia,South America,2023,51,5.89,Generosity,0.20536
Moldova,Europe,2023,52,5.889,Economy (GDP per Capita),0.59448
Moldova,Europe,2023,52,5.889,Family,1.01528
Moldova,Europe,2023,52,5.889,Health (Life Expectancy),0.61826
Moldova,Europe,2023,52,5.889,Freedom,0.32818
Moldova,Europe,2023,52,5.889,Trust (Government Corruption),0.01615
Moldova,Europe,2023,52,5.889,Generosity,0.20951
Paraguay,South America,2023,53,5.878,Economy (GDP per Capita),0.75985
Paraguay,South America,2023,53,5.878,Family,1.30477
Paraguay,South America,2023,53,5.878,Health (Life Expectancy),0.66098
Paraguay,South America,2023,53,5.878,Freedom,0.53899
Paraguay,South America,2023,53,5.878,Trust (Government Corruption),0.08242
Paraguay,South America,2023,53,5.878,Generosity,0.3424
Kazakhstan,Asia,2023,54,5.855,Economy (GDP per Capita),1.12254
Kazakhstan,Asia,2023,54,5.855,Family,1.12241
Kazakhstan,Asia,2023,54,5.855,Health (Life Expectancy),0.64368
Kazakhstan,Asia,2023,54,5.855,Freedom,0.51649
Kazakhstan,Asia,2023,54,5.855,Trust (Government Corruption),0.08454
Kazakhstan,Asia,2023,54,5.855,Generosity,0.11827
Slovenia,Europe,2023,55,5.848,Economy (GDP per Capita),1.18498
Slovenia,Europe,2023,55,5.848,Family,1.27385
Slovenia,Europe,2023,55,5.848,Health (Life Expectancy),0.87337
Slovenia,Europe,2023,55,5.848,Freedom,0.60855
Slovenia,Europe,2023,55,5.848,Trust (Government Corruption),0.03787
Slovenia,Europe,2023,55,5.848,Generosity,0.25328
Lithuania,Europe,2023,56,5.833,Economy (GDP per Capita),1.14723
Lithuania,Europe,2023,56,5.833,Family,1.25745
Lithuania,Europe,2023,56,5.833,Health (Life Expectancy),0.73128
Lithuania,Europe,2023,56,5.833,Freedom,0.21342
Lithuania,Europe,2023,56,5.833,Trust (Government Corruption),0.01031
Lithuania,Europe,2023,56,5.833,Generosity,0.02641
Nicaragua,North America,2023,57,5.828,Economy (GDP per Capita),0.59325
Nicaragua,North America,2023,57,5.828,Family,1.14184
Nicaragua,North America,2023,57,5.828,Health (Life Expectancy),0.74314
Nicaragua,North America,2023,57,5.828,Freedom,0.55475
Nicaragua,North America,2023,57,5.828,Trust (Government Corruption),0.19317
Nicaragua,North America,2023,57,5.828,Generosity,0.27815
Peru,South America,2023,58,5.824,Economy (GDP per Capita),0.90019
Peru,South America,2023,58,5.824,Family,0.97459
Peru,South America,2023,58,5.824,Health (Life Expectancy),0.73017
Peru,South America,2023,58,5.824,Freedom,0.41496
Peru,South America,2023,58,5.824,Trust (Government Corruption),0.05989
Peru,South America,2023,58,5.824,Generosity,0.14982
Belarus,Europe,2023,59,5.813,Economy (GDP per Capita),1.03192
Belarus,Europe,2023,59,5.813,Family,1.23289
Belarus,Europe,2023,59,5.813,Health (Life Expectancy),0.73608
Belarus,Europe,2023,59,5.813,Freedom,0.37938
Belarus,Europe,2023,59,5.813,Trust (Government Corruption),0.1909
Belarus,Europe,2023,59,5.813,Generosity,0.11046
Poland,Europe,2023,60,5.791,Economy (GDP per Capita),1.12555
Poland,Europe,2023,60,5.791,Family,1.27948
Poland,Europe,2023,60,5.791,Health (Life Expectancy),0.77903
Poland,Europe,2023,60,5.791,Freedom,0.53122
Poland,Europe,2023,60,5.791,Trust (Government Corruption),0.04212
Poland,Europe,2023,60,5.791,Generosity,0.16759
Malaysia,Asia,2023,61,5.77,Economy (GDP per Capita),1.12486
Malaysia,Asia,2023,61,5.77,Family,1.07023
Malaysia,Asia,2023,61,5.77,Health (Life Expectancy),0.72394
Malaysia,Asia,2023,61,5.77,Freedom,0.53024
Malaysia,Asia,2023,61,5.77,Trust (Government Corruption),0.10501
Malaysia,Asia,2023,61,5.77,Generosity,0.33075
Croatia,Europe,2023,62,5.759,Economy (GDP per Capita),1.08254
Croatia,Europe,2023,62,5.759,Family,0.79624
Croatia,Europe,2023,62,5.759,Health (Life Expectancy),0.78805
Croatia,Europe,2023,62,5.759,Freedom,0.25883
Croatia,Europe,2023,62,5.759,Trust (Government Corruption),0.0243
Croatia,Europe,2023,62,5.759,Generosity,0.05444
Libya,Africa,2023,63,5.754,Economy (GDP per Capita),1.13145
Libya,Africa,2023,63,5.754,Family,1.11862
Libya,Africa,2023,63,5.754,Health (Life Expectancy),0.7038
Libya,Africa,2023,63,5.754,Freedom,0.41668
Libya,Africa,2023,63,5.754,Trust (Government Corruption),0.11023
Libya,Africa,2023,63,5.754,Generosity,0.18295
Russia,Asia,2023,64,5.716,Economy (GDP per Capita),1.13764
Russia,Asia,2023,64,5.716,Family,1.23617
Russia,Asia,2023,64,5.716,Health (Life Expectancy),0.66926
Russia,Asia,2023,64,5.716,Freedom,0.36679
Russia,Asia,2023,64,5.716,Trust (Government Corruption),0.03005
Russia,Asia,2023,64,5.716,Generosity,0.00199
Jamaica,North America,2023,65,5.709,Economy (GDP per Capita),0.81038
Jamaica,North America,2023,65,5.709,Family,1.15102
Jamaica,North America,2023,65,5.709,Health (Life Expectancy),0.68741
Jamaica,North America,2023,65,5.709,Freedom,0.50442
Jamaica,North America,2023,65,5.709,Trust (Government Corruption),0.02299
Jamaica,North America,2023,65,5.709,Generosity,0.2123
North Cyprus,Asia,2023,66,5.695,Economy (GDP per Capita),1.20806
North Cyprus,Asia,2023,66,5.695,Family,1.07008
North Cyprus,Asia,2023,66,5.695,Health (Life Expectancy),0.92356
North Cyprus,Asia,2023,66,5.695,Freedom,0.49027
North Cyprus,Asia,2023,66,5.695,Trust (Government Corruption),0.1428
North Cyprus,Asia,2023,66,5.695,Generosity,0.26169
Cyprus,Asia,2023,67,5.689,Economy (GDP per Capita),1.20813
Cyprus,Asia,2023,67,5.689,Family,0.89318
Cyprus,Asia,2023,67,5.689,Health (Life Expectancy),0.92356
Cyprus,Asia,2023,67,5.689,Freedom,0.40672
Cyprus,Asia,2023,67,5.689,Trust (Government Corruption),0.06146
Cyprus,Asia,2023,67,5.689,Generosity,0.30638
Algeria,Africa,2023,68,5.605,Economy (GDP per Capita),0.93929
Algeria,Africa,2023,68,5.605,Family,1.07772
Algeria,Africa,2023,68,5.605,Health (Life Expectancy),0.61766
Algeria,Africa,2023,68,5.605,Freedom,0.28579
Algeria,Africa,2023,68,5.605,Trust (Government Corruption),0.17383
Algeria,Africa,2023,68,5.605,Generosity,0.07822
Kosovo,Europe,2023,69,5.589,Economy (GDP per Capita),0.80148
Kosovo,Europe,2023,69,5.589,Family,0.81198
Kosovo,Europe,2023,69,5.589,Health (Life Expectancy),0.63132
Kosovo,Europe,2023,69,5.589,Freedom,0.24749
Kosovo,Europe,2023,69,5.589,Trust (Government Corruption),0.04741
Kosovo,Europe,2023,69,5.589,Generosity,0.2831
Turkmenistan,Asia,2023,70,5.548,Economy (GDP per Capita),0.95847
Turkmenistan,Asia,2023,70,5.548,Family,1.22668
Turkmenistan,Asia,2023,70,5.548,Health (Life Expectancy),0.53886
Turkmenistan,Asia,2023,70,5.548,Freedom,0.4761
Turkmenistan,Asia,2023,70,5.548,Trust (Government Corruption),0.30844
Turkmenistan,Asia,2023,70,5.548,Generosity,0.16979
Mauritius,Africa,2023,71,5.477,Economy (GDP per Capita),1.00761
Mauritius,Africa,2023,71,5.477,Family,0.98521
Mauritius,Africa,2023,71,5.477,Health (Life Expectancy),0.7095
Mauritius,Africa,2023,71,5.477,Freedom,0.56066
Mauritius,Africa,2023,71,5.477,Trust (Government Corruption),0.07521
Mauritius,Africa,2023,71,5.477,Generosity,0.37744
Hong Kong,Asia,2023,72,5.474,Economy (GDP per Capita),1.38604
Hong Kong,Asia,2023,72,5.474,Family,1.05818
Hong Kong,Asia,2023,72,5.474,Health (Life Expectancy),1.01328
Hong Kong,Asia,2023,72,5.474,Freedom,0.59608
Hong Kong,Asia,2023,72,5.474,Trust (Government Corruption),0.37124
Hong Kong,Asia,2023,72,5.474,Generosity,0.39478
Estonia,Europe,2023,73,5.429,Economy (GDP per Capita),1.15174
Estonia,Europe,2023,73,5.429,Family,1.22791
Estonia,Europe,2023,73,5.429,Health (Life Expectancy),0.77361
Estonia,Europe,2023,73,5.429,Freedom,0.44888
Estonia,Europe,2023,73,5.429,Trust (Government Corruption),0.15184
Estonia,Europe,2023,73,5.429,Generosity,0.0868
Indonesia,Asia,2023,74,5.399,Economy (GDP per Capita),0.82827
Indonesia,Asia,2023,74,5.399,Family,1.08708
Indonesia,Asia,2023,74,5.399,Health (Life Expectancy),0.63793
Indonesia,Asia,2023,74,5.399,Freedom,0.46611
Indonesia,Asia,2023,74,5.399,Trust (Government Corruption),0
Indonesia,Asia,2023,74,5.399,Generosity,0.51535
Vietnam,Asia,2023,75,5.36,Economy (GDP per Capita),0.63216
Vietnam,Asia,2023,75,5.36,Family,0.91226
Vietnam,Asia,2023,75,5.36,Health (Life Expectancy),0.74676
Vietnam,Asia,2023,75,5.36,Freedom,0.59444
